Type,Model Year,JD,RA (deg),Obliquity (deg)
VE,-302355,-108711662.807205,356.847960,-0.000000
SS,-302355,-108711572.965664,86.847996,23.445307
AE,-302355,-108711483.278033,176.848034,-0.000000
WS,-302355,-108711390.501448,266.848071,-23.445305
VE,-302326,-108701070.780259,356.852297,-0.000000
SS,-302326,-108700980.924162,86.852333,23.445214
AE,-302326,-108700891.249557,176.852371,-0.000000
WS,-302326,-108700798.488020,266.852407,-23.445212
VE,-302297,-108690478.753423,356.856633,-0.000000
SS,-302297,-108690388.882667,86.856668,23.445111
AE,-302297,-108690299.220975,176.856706,-0.000000
WS,-302297,-108690206.474587,266.856743,-23.445109
VE,-302268,-108679886.726696,356.860967,0.000000
SS,-302268,-108679796.841181,86.861002,23.444998
AE,-302268,-108679707.192287,176.861040,-0.000000
WS,-302268,-108679614.461148,266.861077,-23.444996
VE,-302239,-108669294.700080,356.865299,-0.000000
SS,-302239,-108669204.799703,86.865334,23.444875
AE,-302239,-108669115.163492,176.865373,-0.000000
WS,-302239,-108669022.447704,266.865409,-23.444873
VE,-302210,-108658702.673573,356.869630,-0.000000
SS,-302210,-108658612.758235,86.869665,23.444741
AE,-302210,-108658523.134593,176.869703,-0.000000
WS,-302210,-108658430.434252,266.869739,-23.444739
VE,-302181,-108648110.647177,356.873958,0.000000
SS,-302181,-108648020.716778,86.873993,23.444598
AE,-302181,-108647931.105587,176.874032,-0.000000
WS,-302181,-108647838.420794,266.874067,-23.444595
VE,-302152,-108637518.620891,356.878285,-0.000000
SS,-302152,-108637428.675332,86.878320,23.444444
AE,-302152,-108637339.076477,176.878358,-0.000000
WS,-302152,-108637246.407327,266.878394,-23.444441
VE,-302123,-108626926.594715,356.882610,-0.000000
SS,-302123,-108626836.633899,86.882644,23.444280
AE,-302123,-108626747.047261,176.882683,-0.000000
WS,-302123,-108626654.393852,266.882718,-23.444277
VE,-302094,-108616334.568650,356.886932,-0.000000
SS,-302094,-108616244.592478,86.886966,23.444106
AE,-302094,-108616155.017940,176.887005,-0.000000
WS,-302094,-108616062.380367,266.887040,-23.444103
VE,-302065,-108605742.542695,356.891252,0.000000
SS,-302065,-108605652.551071,86.891286,23.443921
AE,-302065,-108605562.988515,176.891325,-0.000000
WS,-302065,-108605470.366873,266.891360,-23.443918
VE,-302036,-108595150.516851,356.895569,-0.000000
SS,-302036,-108595060.509679,86.895603,23.443727
AE,-302036,-108594970.958985,176.895643,-0.000000
WS,-302036,-108594878.353368,266.895677,-23.443723
VE,-302007,-108584558.491117,356.899884,-0.000000
SS,-302007,-108584468.468302,86.899918,23.443522
AE,-302007,-108584378.929351,176.899957,-0.000000
WS,-302007,-108584286.339852,266.899992,-23.443518
VE,-301978,-108573966.465495,356.904197,-0.000000
SS,-301978,-108573876.426941,86.904230,23.443307
AE,-301978,-108573786.899612,176.904270,-0.000000
WS,-301978,-108573694.326325,266.904304,-23.443303
VE,-301949,-108563374.439983,356.908506,-0.000000
SS,-301949,-108563284.385596,86.908539,23.443082
AE,-301949,-108563194.869770,176.908579,-0.000000
WS,-301949,-108563102.312785,266.908613,-23.443078
VE,-301920,-108552782.414582,356.912812,-0.000000
SS,-301920,-108552692.344270,86.912846,23.442847
AE,-301920,-108552602.839823,176.912885,-0.000000
WS,-301920,-108552510.299232,266.912920,-23.442843
VE,-301891,-108542190.389291,356.917116,0.000000
SS,-301891,-108542100.302962,86.917149,23.442602
AE,-301891,-108542010.809774,176.917189,-0.000000
WS,-301891,-108541918.285665,266.917223,-23.442597
VE,-301862,-108531598.364112,356.921416,-0.000000
SS,-301862,-108531508.261673,86.921449,23.442346
AE,-301862,-108531418.779620,176.921489,-0.000000
WS,-301862,-108531326.272085,266.921523,-23.442342
VE,-301833,-108521006.339045,356.925713,-0.000000
SS,-301833,-108520916.220404,86.925746,23.442081
AE,-301833,-108520826.749364,176.925786,-0.000000
WS,-301833,-108520734.258489,266.925819,-23.442076
VE,-301804,-108510414.314088,356.930006,-0.000000
SS,-301804,-108510324.179156,86.930039,23.441805
AE,-301804,-108510234.719005,176.930079,-0.000000
WS,-301804,-108510142.244878,266.930113,-23.441800
VE,-301775,-108499822.289243,356.934296,-0.000000
SS,-301775,-108499732.137930,86.934329,23.441519
AE,-301775,-108499642.688543,176.934369,-0.000000
WS,-301775,-108499550.231251,266.934402,-23.441514
VE,-301746,-108489230.264509,356.938582,0.000000
SS,-301746,-108489140.096726,86.938615,23.441223
AE,-301746,-108489050.657978,176.938655,-0.000000
WS,-301746,-108488958.217607,266.938688,-23.441218
VE,-301717,-108478638.239886,356.942865,-0.000000
SS,-301717,-108478548.055545,86.942897,23.440917
AE,-301717,-108478458.627311,176.942938,-0.000000
WS,-301717,-108478366.203946,266.942970,-23.440912
VE,-301688,-108468046.215375,356.947144,0.000000
SS,-301688,-108467956.014388,86.947176,23.440601
AE,-301688,-108467866.596542,176.947216,-0.000000
WS,-301688,-108467774.190267,266.947249,-23.440596
VE,-301659,-108457454.190975,356.951418,0.000000
SS,-301659,-108457363.973256,86.951450,23.440275
AE,-301659,-108457274.565671,176.951491,-0.000000
WS,-301659,-108457182.176569,266.951523,-23.440269
VE,-301630,-108446862.166687,356.955689,0.000000
SS,-301630,-108446771.932150,86.955720,23.439939
AE,-301630,-108446682.534698,176.955761,-0.000000
WS,-301630,-108446590.162852,266.955793,-23.439933
VE,-301601,-108436270.142511,356.959955,0.000000
SS,-301601,-108436179.891070,86.959986,23.439592
AE,-301601,-108436090.503624,176.960027,-0.000000
WS,-301601,-108435998.149115,266.960059,-23.439586
VE,-301572,-108425678.118446,356.964217,0.000000
SS,-301572,-108425587.850017,86.964248,23.439236
AE,-301572,-108425498.472449,176.964289,-0.000000
WS,-301572,-108425406.135357,266.964321,-23.439229
VE,-301543,-108415086.094493,356.968474,0.000000
SS,-301543,-108414995.808992,86.968505,23.438869
AE,-301543,-108414906.441173,176.968546,-0.000000
WS,-301543,-108414814.121578,266.968578,-23.438863
VE,-301514,-108404494.070652,356.972727,-0.000000
SS,-301514,-108404403.767996,86.972758,23.438493
AE,-301514,-108404314.409796,176.972799,-0.000000
WS,-301514,-108404222.107778,266.972831,-23.438486
VE,-301485,-108393902.046922,356.976975,0.000000
SS,-301485,-108393811.727030,86.977006,23.438106
AE,-301485,-108393722.378318,176.977047,-0.000000
WS,-301485,-108393630.093954,266.977078,-23.438099
VE,-301456,-108383310.023305,356.981218,-0.000000
SS,-301456,-108383219.686094,86.981249,23.437709
AE,-301456,-108383130.346740,176.981290,-0.000000
WS,-301456,-108383038.080108,266.981321,-23.437702
VE,-301427,-108372717.999799,356.985456,0.000000
SS,-301427,-108372627.645190,86.985487,23.437303
AE,-301427,-108372538.315062,176.985528,-0.000000
WS,-301427,-108372446.066238,266.985559,-23.437296
VE,-301398,-108362125.976405,356.989690,0.000000
SS,-301398,-108362035.604317,86.989720,23.436886
AE,-301398,-108361946.283284,176.989761,-0.000000
WS,-301398,-108361854.052344,266.989792,-23.436879
VE,-301369,-108351533.953123,356.993917,0.000000
SS,-301369,-108351443.563477,86.993948,23.436459
AE,-301369,-108351354.251407,176.993989,-0.000000
WS,-301369,-108351262.038424,266.994020,-23.436452
VE,-301340,-108340941.929953,356.998140,0.000000
SS,-301340,-108340851.522671,86.998170,23.436022
AE,-301340,-108340762.219430,176.998212,-0.000000
WS,-301340,-108340670.024479,266.998242,-23.436015
VE,-301311,-108330349.906896,357.002357,0.000000
SS,-301311,-108330259.481900,87.002387,23.435576
AE,-301311,-108330170.187354,177.002429,-0.000000
WS,-301311,-108330078.010507,267.002459,-23.435568
VE,-301282,-108319757.883950,357.006569,0.000000
SS,-301282,-108319667.441164,87.006599,23.435119
AE,-301282,-108319578.155179,177.006641,-0.000000
WS,-301282,-108319485.996509,267.006671,-23.435111
VE,-301253,-108309165.861116,357.010775,0.000000
SS,-301253,-108309075.400463,87.010805,23.434652
AE,-301253,-108308986.122906,177.010847,-0.000000
WS,-301253,-108308893.982482,267.010876,-23.434644
VE,-301224,-108298573.838394,357.014975,0.000000
SS,-301224,-108298483.359800,87.015005,23.434176
AE,-301224,-108298394.090534,177.015047,-0.000000
WS,-301224,-108298301.968428,267.015076,-23.434168
VE,-301195,-108287981.815784,357.019170,-0.000000
SS,-301195,-108287891.319175,87.019199,23.433689
AE,-301195,-108287802.058065,177.019241,-0.000000
WS,-301195,-108287709.954344,267.019271,-23.433681
VE,-301166,-108277389.793287,357.023358,0.000000
SS,-301166,-108277299.278588,87.023387,23.433193
AE,-301166,-108277210.025497,177.023429,-0.000000
WS,-301166,-108277117.940231,267.023459,-23.433184
VE,-301137,-108266797.770901,357.027541,-0.000000
SS,-301137,-108266707.238041,87.027569,23.432686
AE,-301137,-108266617.992832,177.027611,-0.000000
WS,-301137,-108266525.926087,267.027641,-23.432678
VE,-301108,-108256205.748628,357.031717,-0.000000
SS,-301108,-108256115.197534,87.031745,23.432170
AE,-301108,-108256025.960069,177.031787,-0.000000
WS,-301108,-108255933.911913,267.031816,-23.432161
VE,-301079,-108245613.726466,357.035886,-0.000000
SS,-301079,-108245523.157068,87.035915,23.431644
AE,-301079,-108245433.927210,177.035957,-0.000000
WS,-301079,-108245341.897706,267.035986,-23.431635
VE,-301050,-108235021.704417,357.040049,-0.000000
SS,-301050,-108234931.116644,87.040078,23.431107
AE,-301050,-108234841.894254,177.040120,-0.000000
WS,-301050,-108234749.883468,267.040148,-23.431098
VE,-301021,-108224429.682479,357.044206,-0.000000
SS,-301021,-108224339.076262,87.044234,23.430561
AE,-301021,-108224249.861201,177.044276,-0.000000
WS,-301021,-108224157.869196,267.044305,-23.430552
VE,-300992,-108213837.660654,357.048356,-0.000000
SS,-300992,-108213747.035925,87.048384,23.430005
AE,-300992,-108213657.828052,177.048426,-0.000000
WS,-300992,-108213565.854891,267.048454,-23.429996
VE,-300963,-108203245.638941,357.052499,0.000000
SS,-300963,-108203154.995631,87.052527,23.429440
AE,-300963,-108203065.794807,177.052569,-0.000000
WS,-300963,-108202973.840551,267.052597,-23.429430
VE,-300934,-108192653.617339,357.056635,0.000000
SS,-300934,-108192562.955383,87.056662,23.428864
AE,-300934,-108192473.761467,177.056705,-0.000000
WS,-300934,-108192381.826177,267.056733,-23.428854
VE,-300905,-108182061.595850,357.060764,0.000000
SS,-300905,-108181970.915181,87.060791,23.428279
AE,-300905,-108181881.728032,177.060834,-0.000000
WS,-300905,-108181789.811766,267.060862,-23.428269
VE,-300876,-108171469.574472,357.064886,0.000000
SS,-300876,-108171378.875027,87.064913,23.427683
AE,-300876,-108171289.694501,177.064956,0.000000
WS,-300876,-108171197.797320,267.064983,-23.427673
VE,-300847,-108160877.553207,357.069001,-0.000000
SS,-300847,-108160786.834919,87.069027,23.427078
AE,-300847,-108160697.660875,177.069070,-0.000000
WS,-300847,-108160605.782836,267.069097,-23.427068
VE,-300818,-108150285.532053,357.073108,-0.000000
SS,-300818,-108150194.794861,87.073134,23.426463
AE,-300818,-108150105.627156,177.073177,-0.000000
WS,-300818,-108150013.768314,267.073204,-23.426453
VE,-300789,-108139693.511011,357.077207,-0.000000
SS,-300789,-108139602.754852,87.077234,23.425839
AE,-300789,-108139513.593342,177.077277,-0.000000
WS,-300789,-108139421.753755,267.077304,-23.425828
VE,-300760,-108129101.490080,357.081299,0.000000
SS,-300760,-108129010.714894,87.081326,23.425204
AE,-300760,-108128921.559434,177.081369,-0.000000
WS,-300760,-108128829.739156,267.081395,-23.425193
VE,-300731,-108118509.469262,357.085384,-0.000000
SS,-300731,-108118418.674986,87.085410,23.424560
AE,-300731,-108118329.525433,177.085453,-0.000000
WS,-300731,-108118237.724517,267.085479,-23.424549
VE,-300702,-108107917.448555,357.089460,0.000000
SS,-300702,-108107826.635131,87.089486,23.423906
AE,-300702,-108107737.491339,177.089529,-0.000000
WS,-300702,-108107645.709838,267.089555,-23.423895
VE,-300673,-108097325.427959,357.093529,-0.000000
SS,-300673,-108097234.595329,87.093554,23.423242
AE,-300673,-108097145.457152,177.093598,0.000000
WS,-300673,-108097053.695117,267.093623,-23.423231
VE,-300644,-108086733.407475,357.097589,0.000000
SS,-300644,-108086642.555580,87.097614,23.422569
AE,-300644,-108086553.422872,177.097658,-0.000000
WS,-300644,-108086461.680355,267.097683,-23.422557
VE,-300615,-108076141.387102,357.101641,-0.000000
SS,-300615,-108076050.515886,87.101666,23.421886
AE,-300615,-108075961.388500,177.101710,-0.000000
WS,-300615,-108075869.665550,267.101735,-23.421874
VE,-300586,-108065549.366841,357.105685,-0.000000
SS,-300586,-108065458.476248,87.105710,23.421193
AE,-300586,-108065369.354037,177.105754,-0.000000
WS,-300586,-108065277.650702,267.105779,-23.421181
VE,-300557,-108054957.346691,357.109720,-0.000000
SS,-300557,-108054866.436666,87.109745,23.420491
AE,-300557,-108054777.319482,177.109789,-0.000000
WS,-300557,-108054685.635809,267.109814,-23.420479
VE,-300528,-108044365.326652,357.113747,0.000000
SS,-300528,-108044274.397141,87.113772,23.419779
AE,-300528,-108044185.284836,177.113815,-0.000000
WS,-300528,-108044093.620873,267.113840,-23.419766
VE,-300499,-108033773.306724,357.117765,-0.000000
SS,-300499,-108033682.357675,87.117790,23.419057
AE,-300499,-108033593.250099,177.117833,-0.000000
WS,-300499,-108033501.605890,267.117858,-23.419044
VE,-300470,-108023181.286907,357.121774,-0.000000
SS,-300470,-108023090.318267,87.121799,23.418325
AE,-300470,-108023001.215271,177.121843,-0.000000
WS,-300470,-108022909.590862,267.121867,-23.418313
VE,-300441,-108012589.267200,357.125775,-0.000000
SS,-300441,-108012498.278920,87.125799,23.417584
AE,-300441,-108012409.180354,177.125843,-0.000000
WS,-300441,-108012317.575787,267.125867,-23.417572
VE,-300412,-108001997.247605,357.129766,-0.000000
SS,-300412,-108001906.239633,87.129790,23.416834
AE,-300412,-108001817.145347,177.129834,-0.000000
WS,-300412,-108001725.560664,267.129858,-23.416821
VE,-300383,-107991405.228120,357.133749,-0.000000
SS,-300383,-107991314.200408,87.133773,23.416074
AE,-300383,-107991225.110251,177.133816,-0.000000
WS,-300383,-107991133.545494,267.133840,-23.416061
VE,-300354,-107980813.208745,357.137722,0.000000
SS,-300354,-107980722.161245,87.137745,23.415304
AE,-300354,-107980633.075065,177.137789,-0.000000
WS,-300354,-107980541.530274,267.137813,-23.415291
VE,-300325,-107970221.189481,357.141686,-0.000000
SS,-300325,-107970130.122146,87.141709,23.414525
AE,-300325,-107970041.039791,177.141753,-0.000000
WS,-300325,-107969949.515005,267.141776,-23.414511
VE,-300296,-107959629.170326,357.145640,-0.000000
SS,-300296,-107959538.083111,87.145663,23.413736
AE,-300296,-107959449.004429,177.145707,-0.000000
WS,-300296,-107959357.499685,267.145730,-23.413723
VE,-300267,-107949037.151282,357.149585,-0.000000
SS,-300267,-107948946.044142,87.149608,23.412938
AE,-300267,-107948856.968980,177.149652,-0.000000
WS,-300267,-107948765.484314,267.149674,-23.412924
VE,-300238,-107938445.132348,357.153520,-0.000000
SS,-300238,-107938354.005238,87.153542,23.412130
AE,-300238,-107938264.933442,177.153587,-0.000000
WS,-300238,-107938173.468891,267.153609,-23.412116
VE,-300209,-107927853.113523,357.157445,-0.000000
SS,-300209,-107927761.966402,87.157467,23.411313
AE,-300209,-107927672.897818,177.157512,-0.000000
WS,-300209,-107927581.453416,267.157534,-23.411299
VE,-300180,-107917261.094808,357.161360,-0.000000
SS,-300180,-107917169.927633,87.161382,23.410486
AE,-300180,-107917080.862108,177.161427,-0.000000
WS,-300180,-107916989.437888,267.161449,-23.410472
VE,-300151,-107906669.076202,357.165265,0.000000
SS,-300151,-107906577.888933,87.165288,23.409650
AE,-300151,-107906488.826311,177.165332,-0.000000
WS,-300151,-107906397.422306,267.165354,-23.409636
VE,-300122,-107896077.057705,357.169161,-0.000000
SS,-300122,-107895985.850303,87.169182,23.408804
AE,-300122,-107895896.790428,177.169227,-0.000000
WS,-300122,-107895805.406669,267.169248,-23.408790
VE,-300093,-107885485.039318,357.173045,-0.000000
SS,-300093,-107885393.811743,87.173067,23.407949
AE,-300093,-107885304.754461,177.173111,-0.000000
WS,-300093,-107885213.390977,267.173133,-23.407935
VE,-300064,-107874893.021039,357.176920,-0.000000
SS,-300064,-107874801.773255,87.176941,23.407085
AE,-300064,-107874712.718408,177.176986,-0.000000
WS,-300064,-107874621.375228,267.177007,-23.407070
VE,-300035,-107864301.002868,357.180784,-0.000000
SS,-300035,-107864209.734840,87.180805,23.406211
AE,-300035,-107864120.682271,177.180850,-0.000000
WS,-300035,-107864029.359423,267.180871,-23.406196
VE,-300006,-107853708.984806,357.184637,-0.000000
SS,-300006,-107853617.696497,87.184659,23.405328
AE,-300006,-107853528.646050,177.184703,-0.000000
WS,-300006,-107853437.343560,267.184724,-23.405313
VE,-299977,-107843116.966852,357.188480,0.000000
SS,-299977,-107843025.658229,87.188501,23.404436
AE,-299977,-107842936.609746,177.188546,-0.000000
WS,-299977,-107842845.327639,267.188566,-23.404420
VE,-299948,-107832524.949006,357.192312,0.000000
SS,-299948,-107832433.620036,87.192333,23.403534
AE,-299948,-107832344.573358,177.192377,-0.000000
WS,-299948,-107832253.311659,267.192398,-23.403519
VE,-299919,-107821932.931268,357.196133,0.000000
