Type,Model Year,JD,RA (deg),Obliquity (deg),World Angle (deg),Distance (AU)
SS,1990,2447698.916228,90.014364,23.440722,269.833285,1.014938
SS,1991,2448064.157840,90.014351,23.440592,269.847253,1.014937
SS,1992,2448429.399453,90.014338,23.440462,269.861222,1.014936
SS,1993,2448794.641065,90.014325,23.440332,269.875190,1.014935
SS,1994,2449159.882678,90.014312,23.440201,269.889159,1.014934
SS,1995,2449525.124290,90.014299,23.440071,269.903127,1.014933
SS,1996,2449890.365903,90.014286,23.439941,269.917096,1.014932
SS,1997,2450255.607515,90.014272,23.439811,269.931064,1.014931
SS,1998,2450620.849128,90.014259,23.439681,269.945033,1.014930
SS,1999,2450986.090740,90.014246,23.439551,269.959001,1.014929
SS,2000,2451351.332353,90.014233,23.439421,269.972970,1.014928
SS,2001,2451716.573966,90.014219,23.439291,269.986938,1.014927
SS,2002,2452081.815578,90.014206,23.439161,270.000907,1.014926
SS,2003,2452447.057191,90.014193,23.439031,270.014876,1.014925
SS,2004,2452812.298803,90.014179,23.438901,270.028845,1.014924
SS,2005,2453177.540416,90.014166,23.438771,270.042814,1.014923
SS,2006,2453542.782029,90.014152,23.438641,270.056782,1.014922
SS,2007,2453908.023641,90.014139,23.438511,270.070751,1.014921
SS,2008,2454273.265254,90.014125,23.438381,270.084720,1.014920
SS,2009,2454638.506867,90.014112,23.438251,270.098689,1.014919
SS,2010,2455003.748479,90.014098,23.438121,270.112658,1.014917
WS,1990,2447882.399133,270.014361,-23.440656,89.840336,0.985051
WS,1991,2448247.641878,270.014348,-23.440526,89.854305,0.985052
WS,1992,2448612.884623,270.014335,-23.440396,89.868273,0.985053
WS,1993,2448978.127367,270.014322,-23.440266,89.882242,0.985054
WS,1994,2449343.370112,270.014309,-23.440136,89.896210,0.985055
WS,1995,2449708.612856,270.014296,-23.440006,89.910178,0.985056
WS,1996,2450073.855601,270.014282,-23.439876,89.924147,0.985057
WS,1997,2450439.098345,270.014269,-23.439746,89.938116,0.985058
WS,1998,2450804.341089,270.014256,-23.439616,89.952084,0.985059
WS,1999,2451169.583834,270.014243,-23.439486,89.966053,0.985060
WS,2000,2451534.826578,270.014230,-23.439356,89.980021,0.985061
WS,2001,2451900.069322,270.014216,-23.439226,89.993990,0.985062
WS,2002,2452265.312066,270.014203,-23.439096,90.007959,0.985063
WS,2003,2452630.554810,270.014190,-23.438966,90.021928,0.985064
WS,2004,2452995.797553,270.014176,-23.438836,90.035896,0.985065
WS,2005,2453361.040297,270.014163,-23.438706,90.049865,0.985066
WS,2006,2453726.283041,270.014149,-23.438576,90.063834,0.985067
WS,2007,2454091.525784,270.014136,-23.438446,90.077803,0.985068
WS,2008,2454456.768528,270.014122,-23.438315,90.091772,0.985069
WS,2009,2454822.011271,270.014108,-23.438185,90.105741,0.985070
WS,2010,2455187.254014,270.014095,-23.438055,90.119710,0.985071
VE,1990,2447971.312411,0.014408,0.000000,359.925195,0.996466
VE,1991,2448336.554741,0.014395,0.000000,359.939164,0.996461
VE,1992,2448701.797072,0.014382,0.000000,359.953132,0.996457
VE,1993,2449067.039403,0.014369,0.000000,359.967101,0.996452
VE,1994,2449432.281734,0.014356,0.000000,359.981070,0.996448
VE,1995,2449797.524066,0.014343,0.000000,359.995039,0.996443
VE,1996,2450162.766397,0.014330,0.000000,0.009008,0.996439
VE,1997,2450528.008729,0.014316,0.000000,0.022977,0.996434
VE,1998,2450893.251060,0.014303,0.000000,0.036946,0.996430
VE,1999,2451258.493392,0.014290,0.000000,0.050915,0.996426
VE,2000,2451623.735724,0.014277,0.000000,0.064884,0.996421
VE,2001,2451988.978056,0.014263,0.000000,0.078853,0.996417
VE,2002,2452354.220389,0.014250,0.000000,0.092822,0.996412
VE,2003,2452719.462721,0.014237,0.000000,0.106791,0.996408
VE,2004,2453084.705054,0.014223,0.000000,0.120760,0.996403
VE,2005,2453449.947386,0.014210,0.000000,0.134729,0.996399
VE,2006,2453815.189719,0.014196,0.000000,0.148699,0.996394
VE,2007,2454180.432052,0.014183,0.000000,0.162668,0.996390
