North Atlantic Holocene Drift Ice Proxy Data
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: North Atlantic Holocene Drift Ice Proxy Data
LAST UPDATE: 2/2008 (Original receipt by WDC Paleo)
CONTRIBUTORS: Michael N. Evans, Raimund Muscheler, and Rusty Lotti Bond
SPECIAL NOTE: This contribution is submitted as a tribute to the life
and work of Gerard C. Bond following his untimely death in 2005.

IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2008-018

SUGGESTED DATA CITATION: Bond, G.C., et al. 2008.
North Atlantic Holocene Drift Ice Proxy Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2008-018.    
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE:  
Bond, G.C., B. Kromer, J. Beer, R. Muscheler, M.N. Evans, W. Showers, 
S. Hoffmann, R. Lotti-Bond, I. Hajdas, and G. Bonani.  2001.  
Persistent Solar Influence on North Atlantic Climate During the Holocene.  
Science, Vol. 294, Issue 5549, pp. 2130-2136 (7 December 2001).
DOI: 10.1126/science.1065680

ABSTRACT:
Surface winds and surface ocean hydrography in the subpolar North Atlantic
appear to have been influenced by variations in solar output through the 
entire Holocene. The evidence comes from a close correlation between 
inferred changes in production rates of the cosmogenic nuclides carbon-14 
and beryllium-10 and centennial to millennial time scale changes in proxies 
of drift ice measured in deep-sea sediment cores. A solar forcing mechanism 
therefore may underlie at least the Holocene segment of the North Atlantic's 
"1500-year" cycle. The surface hydrographic changes may have affected 
production of North Atlantic Deep Water, potentially providing an additional 
mechanism for amplifying the solar signals and transmitting them globally.

GEOGRAPHIC REGION: North Atlantic 
PERIOD OF RECORD:  11,500 YrBP - present


DESCRIPTION:  
Bond et al. 2001 North Atlantic Holocene Drift Ice Proxy Data.
Ice rafted debris from marine sediment cores in the North Atlantic, 
including hematite-stained grains, detrital carbonate, and icelandic glass.

Core locations:
VM28-14:       64�47'N, 29�34'W, 1855m water depth 
VM29-191:      54�16'N, 16�47'W, 2370m water depth 
VM23-81:       54�15'N, 16�50'W, 2393m water depth 
KN158-4 MC52:  55�28'N, 14�43'W, 2172m water depth
KN158-4 MC21 and KN158-4 GGC22: 
               44�18'N, 46�16'W, 3958m water depth  
EW9303 JPC37:  43�58'N, 46�25'W, 3980m water depth





DATA:
Data published in Bond et al., Science 294:2130-2136 (2001), compiled by M.N. Evans and R. Muscheler 
from Bond's original data files and comparison with published paper figures.

1. Figure 2, "a,b,e,e,d,g" 
Original data files: Solar Paper/ocean stack Data use paper [last modified 8/14/02 10:37pm], columns K-V

Columns 1-2: MC52 and V29191 merged age model and percent hematite stained grains (% HSG) 
[Figure 2, 1st panel].  The age-depth curve data is given in Supplemental Data Table 1 
which is linked in Science's online archive of the paper.

Columns 3-4: MC52 and V29191 merged age model and percent Icelandic glass [Figure 2, 2nd panel].

Columns 5-6: MC52 and GGC22 merged age model and percent Icelandic glass [Figure 2, 5th panel].

Columns 7-8:  MC52 and GGC22 merged age model and percent detrital carbonate [Figure 2, 4th panel].

Columns 9-10: Age model and stack ("ocean stacked" record) of % HSG from MC52, V29191, MC21, and 
GGC22 cores [Figure 2, 7th panel].



   Fig 2 "a"              Fig 2 "b"            Fig 2 "e"            Fig 2 "d"            Fig 2 "g"
MC52V29191 70yr        MC52V29191 70yr      MC21GGC22 70yr       MC21GGC22 70yr       all 4 stacked
  age         HSG      age       glass      age       glass      age    det carb      age     stacked
    0      2.0000        0      2.0000        0      1.0000        0      0.0000        0      1.2500
   70     10.9252       70      7.0374       70      7.8210       70      6.0895       70      7.9683
  140      8.0298      140      5.0075      140      6.1790      140      7.1790      140      6.5988
  210      7.0000      210      4.1451      210      6.1946      210      7.1946      210      6.1336
  280     10.0000      280      6.0235      280      3.6420      280      4.6420      280      6.0769
  350      8.9176      350      7.9176      350      3.0000      350      7.5798      350      6.8538
  420     13.2000      420      7.4000      420      7.8450      420     11.0517      420      9.8742
  490      8.0000      490      6.5529      490      4.6347      490      4.6347      490      5.9556
  560      9.0807      560      8.1614      560      3.8730      560      6.3095      560      6.8561
  630      8.4075      630      8.1421      630      6.0873      630      7.6376      630      7.5686
  700      3.9758      700      3.0242      700      6.5582      700      5.8466      700      4.8512
  770      3.2694      770      3.7306      770      2.3571      770      2.7857      770      3.0357
  840      3.6424      840      4.0000      840      0.2804      840      2.2804      840      2.5508
  910      4.6810      910      4.0000      910      1.8227      910      4.1773      910      3.6703
  980      7.2104      980      4.7368      980      3.3191      980      5.3191      980      5.1464
 1050      6.3996     1050      7.1987     1050      4.0270     1050      6.9730     1050      6.1496
 1120      9.1823     1120      5.7274     1120      4.4990     1120      6.5010     1120      6.4774
 1190      9.2911     1190      8.1455     1190      4.9710     1190      6.0290     1190      7.1092
 1260      9.0377     1260      6.9812     1260      4.1140     1260      5.1140     1260      6.3117
 1330      7.1082     1330      4.1082     1330      3.1699     1330      4.1699     1330      4.6391
 1400      9.2351     1400      4.2351     1400      3.9371     1400      6.9371     1400      6.0861
 1470     10.0857     1470      7.0857     1470      4.1587     1470      6.5240     1470      6.9635
 1540      9.3410     1540      7.9364     1540      4.2545     1540      4.2545     1540      6.4466
 1610      6.7085     1610      6.7085     1610      3.0000     1610      2.7006     1610      4.7794
 1680      5.9487     1680      6.0513     1680      5.0000     1680      2.0000     1680      4.7500
 1750      5.1890     1750      6.8110     1750      2.1965     1750      2.7009     1750      4.2243
 1820      5.5708     1820      6.4292     1820      1.0000     1820      2.3464     1820      3.8366
 1890      6.6610     1890      5.3390     1890      1.0000     1890      1.3937     1890      3.5984
 1960      7.9097     1960      4.0903     1960      2.1180     1960      2.6770     1960      4.1988
 2030      7.1500     2030      4.8500     2030      2.4882     2030      4.5118     2030      4.7500
 2100      6.3902     2100      4.3902     2100      2.9290     2100      4.5355     2100      4.5612
 2170      6.3695     2170      4.0000     2170      3.1658     2170      4.4171     2170      4.4881
 2240      6.7415     2240      3.8707     2240      3.1094     2240      5.0000     2240      4.6804
 2310      5.2221     2310      3.1110     2310      4.3549     2310      4.6775     2310      4.3414
 2380      5.0000     2380      1.7025     2380      3.2752     2380      3.4496     2380      3.3568
 2450      4.1830     2450      1.4085     2450      3.7720     2450      2.2280     2450      2.8979
 2520      3.0000     2520      2.3512     2520      2.8194     2520      2.8194     2520      2.7475
 2590      5.8130     2590      1.1247     2590      1.8666     2590      1.8666     2590      2.6677
 2660     10.4279     2660      9.5721     2660      0.9140     2660      1.5161     2660      5.6075
 2730      9.6623     2730      9.5519     2730      0.2327     2730      7.2715     2730      6.6796
 2800     15.6968     2800     11.9096     2800      5.9494     2800     13.9409     2800     11.8742
 2870     15.2833     2870     10.3005     2870     10.7210     2870     13.0558     2870     12.3401
 2940     11.6516     2940      7.7393     2940      9.2063     2940      9.4126     2940      9.5025
 3010      9.5440     3010      4.5440     3010      3.0528     3010      4.7520     3010      5.4732
 3080      9.6778     3080      6.7111     3080      2.0000     3080      4.8023     3080      5.7978
 3150     12.1271     3150      8.0000     3150      4.2650     3150      3.4900     3150      6.9705
 3220     15.9611     3220      9.4806     3220      7.9630     3220      7.9383     3220     10.3357
 3290     13.9135     3290      7.6851     3290     10.8414     3290     12.6828     3290     11.2807
 3360     11.3942     3360      6.1971     3360     10.1766     3360     11.3533     3360      9.7803
 3430      6.8288     3430      4.3315     3430      7.0712     3430      5.6306     3430      5.9655
 3500      4.2690     3500      4.0000     3500      3.3884     3500      0.4587     3500      3.0290
 3570      4.8969     3570      5.7937     3570      0.7293     3570      2.4530     3570      3.4682
 3640      7.3951     3640      4.8683     3640      0.4824     3640      2.5176     3640      3.8158
 3710      8.8322     3710      5.5570     3710      1.5888     3710      2.4416     3710      4.6049
 3780      8.9400     3780      6.7067     3780      4.2479     3780      4.4359     3780      6.0826
 3850     10.9042     3850      5.0958     3850      5.4767     3850      5.4767     3850      6.7384
 3920      9.6467     3920      7.8383     3920      6.0000     3920      5.8585     3920      7.3359
 3990     12.5808     3990      9.5149     3990      6.0000     3990      5.1937     3990      8.3224
 4060     11.3233     4060     11.6467     4060      6.4710     4060      5.4710     4060      8.7280
 4130     11.5955     4130     10.4045     4130      6.5926     4130      5.7284     4130      8.5802
 4200     10.8085     4200      9.2057     4200      4.5983     4200      4.3989     4200      7.2528
 4270      9.1988     4270      8.1988     4270      4.4653     4270      4.0000     4270      6.4658
 4340      9.9994     4340      8.9994     4340      4.8699     4340      4.3903     4340      7.0648
 4410      9.1978     4410      8.1978     4410      4.2051     4410      6.3846     4410      6.9963
 4480     13.2271     4480      9.8116     4480      4.0000     4480      7.4596     4480      8.6246
 4550     14.7834     4550     10.1890     4550      4.3732     4550      8.0000     4550      9.3364
 4620     11.7570     4620      9.2072     4620      6.3675     4620      8.0000     4620      8.8329
 4690      7.0088     4690      9.9471     4690      7.0000     4690      6.1842     4690      7.5350
 4760      7.8105     4760      5.1372     4760      6.4065     4760      4.3561     4760      5.9276
 4830      4.3269     4830      4.0000     4830      3.0826     4830      6.3504     4830      4.4400
 4900      3.2416     4900      6.0694     4900      1.5518     4900      4.7588     4900      3.9054
 4970      6.0776     4970      8.3534     4970      1.9041     4970      1.8870     4970      4.5555
 5040      9.9526     5040      6.0237     5040      7.2222     5040      1.2222     5040      6.1052
 5110      8.0000     5110      6.8710     5110      9.8851     5110      6.7531     5110      7.8773
 5180     11.2784     5180      9.2784     5180     11.0000     5180     13.7854     5180     11.3355
 5250     22.0000     5250     19.3210     5250     11.0000     5250     12.4558     5250     16.1942
 5320     22.0000     5320     17.1105     5320      9.7887     5320     12.6057     5320     15.3762
 5390     21.4500     5390     16.5500     5390     11.6366     5390     14.0546     5390     15.9228
 5460     21.0000     5460     17.0000     5460     14.4490     5460     13.2041     5460     16.4133
 5530     19.4790     5530     19.2815     5530     15.3706     5530     11.3706     5530     16.3754
 5600     17.2684     5600     13.9395     5600     13.9539     5600     11.7077     5600     14.2174
 5670     18.3977     5670     14.3977     5670      9.2140     5670     11.4279     5670     13.3593
 5740     19.9886     5740     15.9886     5740     10.1356     5740     12.7288     5740     14.7104
 5810     20.1307     5810     16.5653     5810     10.5991     5810     10.8855     5810     14.5451
 5880     17.7443     5880     15.3722     5880      4.1475     5880      9.0421     5880     11.5765
 5950     15.3580     5950     14.1790     5950      4.9006     5950      8.0994     5950     10.6342
 6020     13.3097     6020     12.6477     6020      7.4668     6020      8.8223     6020     10.5616
 6090     11.3210     6090     11.0568     6090     10.2317     6090      6.7683     6090      9.8445
 6160     11.2673     6160     10.8449     6160     11.6656     6160      6.6656     6160     10.1108
 6230     14.3617     6230     14.0426     6230     10.8255     6230      9.9361     6230     12.2915
 6300     13.1215     6300     13.1215     6300      6.9467     6300     10.9822     6300     11.0430
 6370      8.1977     6370     10.0113     6370      4.8611     6370      9.1389     6370      8.0523
 6440      7.6316     6440      7.8245     6440      6.7044     6440      7.6478     6440      7.4521
 6510      8.1436     6510      7.8564     6510      7.4523     6510      6.4523     6510      7.4761
 6580      5.1079     6580      6.0270     6580      6.0000     6580      5.7821     6580      5.7292
 6650      9.1937     6650      9.3550     6650      6.2344     6650      8.6485     6650      8.3579
 6720     12.0878     6720     12.0878     6720      7.9612     6720      6.0388     6720      9.5439
 6790     11.8938     6790     10.7877     6790      7.0395     6790      6.9605     6790      9.1704
 6860      8.5389     6860      7.3593     6860      7.2900     6860      5.1775     6860      7.0914
 6930      5.5347     6930      5.2673     6930      2.3691     6930      6.4077     6930      4.8947
 7000      7.0000     7000      6.0000     7000      2.5518     7000      4.4482     7000      5.0000
 7070      7.0000     7070      6.0000     7070      3.1318     7070      1.2636     7070      4.3489
 7140      6.4240     7140      4.8480     7140      2.4921     7140      1.5905     7140      3.8386
 7210      8.1406     7210      6.1406     7210      6.6714     7210      9.3005     7210      7.5633
 7280     15.7935     7280     13.7935     7280      7.6766     7280     13.4411     7280     12.6762
 7350     19.3420     7350     16.6580     7350     12.9455     7350     13.0000     7350     15.4864
 7420     19.9306     7420     16.0694     7420     13.0580     7420     11.8840     7420     15.2355
 7490     19.4807     7490     14.9615     7490     13.5044     7490      6.7487     7490     13.6738
 7560     18.5684     7560     14.3237     7560      7.4394     7560      8.5202     7560     12.2129
 7630     16.2137     7630     16.0897     7630      6.8699     7630      8.7100     7630     11.9708
 7700     15.5705     7700     15.0034     7700      7.8805     7700      6.1793     7700     11.1584
 7770     16.7477     7770     10.8829     7770      8.6819     7770      5.5114     7770     10.4560
 7840     11.0000     7840     11.4012     7840      7.9930     7840      7.5993     7840      9.4984
 7910     11.4651     7910     11.6337     7910      3.8928     7910      7.0000     7910      8.4979
 7980     10.0058     7980      9.6686     7980      3.2777     7980      7.8612     7980      7.7033
 8050      8.2965     8050      8.2965     8050      3.0914     8050      6.5483     8050      6.5582
 8120     11.7384     8120      9.7849     8120      3.3568     8120     11.3568     8120      9.0592
 8190     11.9070     8190     14.5465     8190      2.5518     8190     10.0000     8190      9.7513
 8260      6.3837     8260     14.3837     8260      3.7821     8260      9.2179     8260      8.4419
 8330     13.9012     8330     11.6279     8330      7.0123     8330      7.0369     8330      9.8946
 8400     12.8779     8400     15.8779     8400      7.5149     8400     13.1529     8400     12.3559
 8470     18.6512     8470     14.0872     8470      3.6362     8470     19.6907     8470     14.0163
 8540     10.4992     8540      6.9984     8540      0.0483     8540     24.5653     8540     10.5278
 8610     11.2107     8610      7.2631     8610      3.6174     8610      8.0000     8610      7.5228
 8680      6.2067     8680      5.2644     8680      3.0000     8680      6.3012     8680      5.1931
 8750      8.7941     8750      5.5882     8750      3.9488     8750      5.7953     8750      6.0316
 8820      7.4700     8820      3.5300     8820      3.3855     8820      3.3855     8820      4.4428
 8890      9.3163     8890      4.1709     8890      2.7199     8890      2.2801     8890      4.6218
 8960      8.9806     8960      8.9032     8960      2.9460     8960      1.1080     8960      5.4845
 9030      9.8013     9030     10.0662     9030      2.3885     9030      4.1656     9030      6.6054
 9100      7.7109     9100     10.5735     9100      4.3859     9100      7.2772     9100      7.4869
 9170     10.9096     9170      8.4361     9170      6.1142     9170     10.8287     9170      9.0722
 9240      8.1755     9240      9.4122     9240      6.3915     9240      7.8256     9240      7.9512
 9310     13.5887     9310     11.6981     9310     11.9191     9310      9.7258     9310     11.7329
 9380     17.4912     9380     17.3216     9380     13.1924     9380     11.6189     9380     14.9060
 9450     16.2632     9450     15.6842     9450     17.0315     9450      7.2498     9450     14.0571
 9520     15.0351     9520     14.0468     9520      8.8406     9520      6.9255     9520     11.2120
 9590     13.4094     9590     13.2047     9590      6.0000     9590      3.0121     9590      8.9065
 9660     11.7719     9660     12.3860     9660      6.5432     9660      5.8270     9660      9.1320
 9730     10.1345     9730     11.3509     9730      5.1689     9730      2.5068     9730      7.2903
 9800      8.4971     9800     10.1228     9800      6.0000     9800      5.9551     9800      7.6437
 9870      7.1053     9870      8.8246     9870     12.4476     9870      4.0350     9870      8.1031
 9940      8.3333     9940      6.7778     9940     12.3628     9940      7.2194     9940      8.6734
10010      9.5614    10010      4.7310    10010     10.7456    10010     11.6272    10010      9.1663
10080      7.0000    10080      5.2784    10080      8.5186    10080     12.0373    10080      8.2086
10150     13.4948    10150     10.4948    10150      8.9383    10150      7.2470    10150     10.0437
10220     17.4639    10220     12.5361    10220     17.0000    10220      7.1389    10220     13.5347
10290     19.4672    10290     26.2896    10290     16.3208    10290      8.6792    10290     17.6892
10360     14.8842    10360     24.0579    10360     13.3791    10360     13.2419    10360     16.3908
10430     12.1197    10430     23.2394    10430      8.2950    10430      9.3310    10430     13.2463
10500     13.3893    10500     24.0000    10500      7.9417    10500      3.2333    10500     12.1411
10570     13.8673    10570     13.3982    10570      9.8559    10570      4.1441    10570     10.3164
10640     11.8830    10640     16.0000    10640      9.3448    10640      6.3791    10640     10.9017
10710      9.3876    10710     12.3257    10710      7.8182    10710      9.0000    10710      9.6329
10780      9.8528    10780     10.0000    10780      7.4923    10780      6.7616    10780      8.5267
10850      9.3688    10850     11.0000    10850      4.2127    10850      6.9468    10850      7.8821
10920     11.6690    10920     11.3327    10920      2.2950    10920      6.0000    10920      7.8242
10990     10.7181    10990     12.5727    10990      7.4880    10990      8.0928    10990      9.7179
11060     12.0000    11060     14.6248    11060     11.7976    11060     12.0000    11060     12.6056
11130     16.9771    11130     13.2973    11130      8.4974    11130     11.2487    11130     12.5051
11200     16.4436    11200     20.2332    11200      8.9520    11200     11.9520    11200     14.3952
11270     16.0899    11270     25.6402    11270     14.3894    11270     12.6106    11270     17.1825
11340     16.6235    11340     23.5061    11340     10.6467    11340     16.7067    11340     16.8707
11410     15.4299    11410     20.7439    11410     11.1081    11410     15.7839    11410     15.7664
11480     10.0945    11480     16.4756    11480      9.7320    11480     16.2680    11480     13.1425
11550      4.7591    11550     12.2073    11550      7.0858    11550      9.3431    11550      8.3488





2. Figure 2 "c"

Columns 1-2: MC52 and V29191 merged age model and oxygen isotopic composition of N. pachy. (d.)  
[Figure 2, 3rd panel].  Note that the age model for these data is different from that 
published in Figure 2.
  
original data file: Solar Paper/**Science Fig2.Data.Except.Lithics. [5/23/05 12:12p], columns AE-AF 

Fig 2 "c"  
composite 18O detrended used in paper
age                   18O
0.00             -0.091119
8.92             -0.057315
35.67             0.224148
71.33             0.100548
106.70           -0.215883
140.25            0.047031
174.66            0.123225
216.0             0.211533
258.5            -0.209982
301.0            -0.056324
343.5             0.231506
386.0            -0.061496
428.5             0.068670
471.0            -0.190001
513.5             0.096491
556.0            -0.381401
605.6            -0.112061
697.6             0.339562
796.7            -0.121841
931.5             0.045059
997.3             0.059284
1063.1           -0.039177
1129.0           -0.159326
1194.8            0.115826
1260.6            0.170270
1326.4           -0.033004
1392.3           -0.136999
1458.1            0.068843
1583.1            0.051786
1767.4            0.021948
1951.7           -0.058169
2136.0           -0.146568
2320.2            0.033072
2504.5           -0.074052
2592.8           -0.006964
2681.0            0.010327
2769.3           -0.096204
2857.5           -0.179005
2945.8            0.099525
3034.0            0.137337
3169.8            0.006076
3305.5            0.040874
3441.3           -0.251283
3577.0            0.061582
3688.3            0.212389
3799.7           -0.053515
3911.0            0.150607
4022.3            0.257707
4165.3           -0.054762
4340.0           -0.098660
4514.6           -0.104358
4689.2           -0.041501
4863.9            0.084334
5038.5           -0.065323
5165.2           -0.016491
5291.8            0.212810
