Type,Model Year,JD,RA (deg),Obliquity (deg)
VE,-302355,-108711662.809984,356.847862,-0.000000
SS,-302355,-108711572.968555,86.847898,23.445219
AE,-302355,-108711483.281054,176.847935,-0.000000
WS,-302355,-108711390.504357,266.847972,-23.445218
VE,-302326,-108701070.783035,356.852202,-0.000000
SS,-302326,-108700980.927049,86.852238,23.445127
AE,-302326,-108700891.252574,176.852276,-0.000000
WS,-302326,-108700798.490926,266.852313,-23.445125
VE,-302297,-108690478.756195,356.856542,-0.000000
SS,-302297,-108690388.885550,86.856577,23.445024
AE,-302297,-108690299.223988,176.856615,-0.000000
WS,-302297,-108690206.477490,266.856652,-23.445022
VE,-302268,-108679886.729465,356.860879,-0.000000
SS,-302268,-108679796.844059,86.860915,23.444910
AE,-302268,-108679707.195296,176.860953,-0.000000
WS,-302268,-108679614.464049,266.860989,-23.444908
VE,-302239,-108669294.702845,356.865215,-0.000000
SS,-302239,-108669204.802578,86.865251,23.444787
AE,-302239,-108669115.166498,176.865289,-0.000000
WS,-302239,-108669022.450601,266.865325,-23.444785
VE,-302210,-108658702.676335,356.869550,-0.000000
SS,-302210,-108658612.761106,86.869585,23.444653
AE,-302210,-108658523.137595,176.869623,-0.000000
WS,-302210,-108658430.437147,266.869659,-23.444651
VE,-302181,-108648110.649936,356.873882,0.000000
SS,-302181,-108648020.719644,86.873917,23.444510
AE,-302181,-108647931.108586,176.873956,-0.000000
WS,-302181,-108647838.423686,266.873991,-23.444507
VE,-302152,-108637518.623646,356.878213,-0.000000
SS,-302152,-108637428.678194,86.878247,23.444356
AE,-302152,-108637339.079472,176.878286,-0.000000
WS,-302152,-108637246.410216,266.878322,-23.444353
VE,-302123,-108626926.597467,356.882541,-0.000000
SS,-302123,-108626836.636757,86.882575,23.444192
AE,-302123,-108626747.050252,176.882614,-0.000000
WS,-302123,-108626654.396738,266.882650,-23.444189
VE,-302094,-108616334.571398,356.886867,-0.000000
SS,-302094,-108616244.595332,86.886901,23.444017
AE,-302094,-108616155.020928,176.886940,-0.000000
WS,-302094,-108616062.383251,266.886976,-23.444014
VE,-302065,-108605742.545440,356.891191,-0.000000
SS,-302065,-108605652.553920,86.891225,23.443833
AE,-302065,-108605562.991499,176.891264,-0.000000
WS,-302065,-108605470.369754,266.891299,-23.443829
VE,-302036,-108595150.519593,356.895512,-0.000000
SS,-302036,-108595060.512524,86.895546,23.443638
AE,-302036,-108594970.961965,176.895585,0.000000
WS,-302036,-108594878.356246,266.895620,-23.443634
VE,-302007,-108584558.493856,356.899831,-0.000000
SS,-302007,-108584468.471142,86.899865,23.443433
AE,-302007,-108584378.932327,176.899904,-0.000000
WS,-302007,-108584286.342728,266.899939,-23.443429
VE,-301978,-108573966.468230,356.904147,-0.000000
SS,-301978,-108573876.429777,86.904180,23.443218
AE,-301978,-108573786.902585,176.904220,-0.000000
WS,-301978,-108573694.329197,266.904254,-23.443214
VE,-301949,-108563374.442714,356.908460,-0.000000
SS,-301949,-108563284.388429,86.908493,23.442993
AE,-301949,-108563194.872739,176.908533,-0.000000
WS,-301949,-108563102.315655,266.908567,-23.442989
VE,-301920,-108552782.417310,356.912770,0.000000
SS,-301920,-108552692.347098,86.912803,23.442757
AE,-301920,-108552602.842789,176.912843,-0.000000
WS,-301920,-108552510.302099,266.912877,-23.442753
VE,-301891,-108542190.392016,356.917077,-0.000000
SS,-301891,-108542100.305786,86.917110,23.442512
AE,-301891,-108542010.812735,176.917150,-0.000000
WS,-301891,-108541918.288530,266.917184,-23.442508
VE,-301862,-108531598.366834,356.921381,0.000000
SS,-301862,-108531508.264493,86.921414,23.442256
AE,-301862,-108531418.782578,176.921454,-0.000000
WS,-301862,-108531326.274946,266.921488,-23.442252
VE,-301833,-108521006.341763,356.925682,-0.000000
SS,-301833,-108520916.223220,86.925715,23.441990
AE,-301833,-108520826.752318,176.925755,-0.000000
WS,-301833,-108520734.261348,266.925788,-23.441986
VE,-301804,-108510414.316803,356.929979,-0.000000
SS,-301804,-108510324.181967,86.930012,23.441715
AE,-301804,-108510234.721955,176.930052,-0.000000
WS,-301804,-108510142.247734,266.930085,-23.441710
VE,-301775,-108499822.291955,356.934273,0.000000
SS,-301775,-108499732.140737,86.934305,23.441428
AE,-301775,-108499642.691489,176.934345,-0.000000
WS,-301775,-108499550.234104,266.934379,-23.441423
VE,-301746,-108489230.267217,356.938563,0.000000
SS,-301746,-108489140.099529,86.938595,23.441132
AE,-301746,-108489050.660921,176.938635,-0.000000
WS,-301746,-108488958.220458,266.938668,-23.441127
VE,-301717,-108478638.242591,356.942849,-0.000000
SS,-301717,-108478548.058344,86.942881,23.440826
AE,-301717,-108478458.630250,176.942921,-0.000000
WS,-301717,-108478366.206794,266.942954,-23.440821
VE,-301688,-108468046.218077,356.947131,0.000000
SS,-301688,-108467956.017183,86.947163,23.440510
AE,-301688,-108467866.599477,176.947204,-0.000000
WS,-301688,-108467774.193112,266.947237,-23.440504
VE,-301659,-108457454.193674,356.951409,-0.000000
SS,-301659,-108457363.976047,86.951441,23.440183
AE,-301659,-108457274.568603,176.951482,-0.000000
WS,-301659,-108457182.179411,266.951515,-23.440177
VE,-301630,-108446862.169383,356.955684,0.000000
SS,-301630,-108446771.934936,86.955715,23.439846
AE,-301630,-108446682.537626,176.955756,-0.000000
WS,-301630,-108446590.165691,266.955788,-23.439841
VE,-301601,-108436270.145203,356.959954,-0.000000
SS,-301601,-108436179.893852,86.959985,23.439500
AE,-301601,-108436090.506549,176.960026,-0.000000
WS,-301601,-108435998.151951,266.960058,-23.439494
VE,-301572,-108425678.121135,356.964219,0.000000
SS,-301572,-108425587.852795,86.964250,23.439143
AE,-301572,-108425498.475369,176.964291,-0.000000
WS,-301572,-108425406.138191,266.964323,-23.439137
VE,-301543,-108415086.097179,356.968480,-0.000000
SS,-301543,-108414995.811767,86.968511,23.438776
AE,-301543,-108414906.444089,176.968552,-0.000000
WS,-301543,-108414814.124409,266.968584,-23.438770
VE,-301514,-108404494.073335,356.972737,0.000000
SS,-301514,-108404403.770767,86.972768,23.438399
AE,-301514,-108404314.412708,176.972809,-0.000000
WS,-301514,-108404222.110606,266.972840,-23.438393
VE,-301485,-108393902.049602,356.976988,0.000000
SS,-301485,-108393811.729796,86.977019,23.438012
AE,-301485,-108393722.381227,176.977060,-0.000000
WS,-301485,-108393630.096780,266.977092,-23.438006
VE,-301456,-108383310.025982,356.981235,0.000000
SS,-301456,-108383219.688856,86.981266,23.437615
AE,-301456,-108383130.349645,176.981307,-0.000000
WS,-301456,-108383038.082931,266.981339,-23.437608
VE,-301427,-108372718.002473,356.985477,0.000000
SS,-301427,-108372627.647948,86.985508,23.437208
AE,-301427,-108372538.317963,176.985549,-0.000000
WS,-301427,-108372446.069058,266.985580,-23.437201
VE,-301398,-108362125.979076,356.989714,0.000000
SS,-301398,-108362035.607071,86.989744,23.436791
AE,-301398,-108361946.286182,176.989786,-0.000000
WS,-301398,-108361854.055161,266.989817,-23.436784
VE,-301369,-108351533.955791,356.993946,0.000000
SS,-301369,-108351443.566227,86.993976,23.436364
AE,-301369,-108351354.254300,176.994017,-0.000000
WS,-301369,-108351262.041239,266.994048,-23.436357
VE,-301340,-108340941.932618,356.998172,0.000000
SS,-301340,-108340851.525417,86.998202,23.435927
AE,-301340,-108340762.222320,176.998244,-0.000000
WS,-301340,-108340670.027290,266.998274,-23.435919
VE,-301311,-108330349.909557,357.002393,0.000000
SS,-301311,-108330259.484641,87.002423,23.435480
AE,-301311,-108330170.190240,177.002465,-0.000000
WS,-301311,-108330078.013316,267.002495,-23.435472
VE,-301282,-108319757.886608,357.006608,0.000000
SS,-301282,-108319667.443901,87.006638,23.435023
AE,-301282,-108319578.158062,177.006680,-0.000000
WS,-301282,-108319485.999315,267.006710,-23.435015
VE,-301253,-108309165.863771,357.010818,-0.000000
SS,-301253,-108309075.403197,87.010848,23.434556
AE,-301253,-108308986.125784,177.010889,-0.000000
WS,-301253,-108308893.985286,267.010919,-23.434548
VE,-301224,-108298573.841047,357.015022,-0.000000
SS,-301224,-108298483.362530,87.015051,23.434079
AE,-301224,-108298394.093409,177.015093,-0.000000
WS,-301224,-108298301.971228,267.015123,-23.434070
VE,-301195,-108287981.818434,357.019220,-0.000000
SS,-301195,-108287891.321901,87.019249,23.433592
AE,-301195,-108287802.060935,177.019291,-0.000000
WS,-301195,-108287709.957142,267.019321,-23.433583
VE,-301166,-108277389.795933,357.023412,-0.000000
SS,-301166,-108277299.281310,87.023441,23.433095
AE,-301166,-108277210.028364,177.023483,-0.000000
WS,-301166,-108277117.943026,267.023513,-23.433086
VE,-301137,-108266797.773545,357.027598,-0.000000
SS,-301137,-108266707.240759,87.027627,23.432588
AE,-301137,-108266617.995695,177.027669,-0.000000
WS,-301137,-108266525.928879,267.027698,-23.432579
VE,-301108,-108256205.751268,357.031778,0.000000
SS,-301108,-108256115.200247,87.031806,23.432071
AE,-301108,-108256025.962929,177.031849,-0.000000
WS,-301108,-108255933.914702,267.031877,-23.432062
VE,-301079,-108245613.729104,357.035951,0.000000
SS,-301079,-108245523.159778,87.035979,23.431544
AE,-301079,-108245433.930065,177.036022,-0.000000
WS,-301079,-108245341.900493,267.036050,-23.431535
VE,-301050,-108235021.707051,357.040118,0.000000
SS,-301050,-108234931.119350,87.040146,23.431008
AE,-301050,-108234841.897105,177.040188,-0.000000
WS,-301050,-108234749.886251,267.040217,-23.430998
VE,-301021,-108224429.685111,357.044278,-0.000000
SS,-301021,-108224339.078964,87.044306,23.430461
AE,-301021,-108224249.864049,177.044349,-0.000000
WS,-301021,-108224157.871977,267.044377,-23.430452
VE,-300992,-108213837.663283,357.048431,0.000000
SS,-300992,-108213747.038623,87.048459,23.429905
AE,-300992,-108213657.830896,177.048502,-0.000000
WS,-300992,-108213565.857669,267.048530,-23.429895
VE,-300963,-108203245.641567,357.052578,-0.000000
SS,-300963,-108203154.998325,87.052606,23.429339
AE,-300963,-108203065.797647,177.052648,-0.000000
WS,-300963,-108202973.843326,267.052676,-23.429329
VE,-300934,-108192653.619962,357.056718,-0.000000
SS,-300934,-108192562.958074,87.056745,23.428762
AE,-300934,-108192473.764303,177.056788,-0.000000
WS,-300934,-108192381.828949,267.056816,-23.428752
VE,-300905,-108182061.598470,357.060850,0.000000
