JD;Date;Time;Year;Mercury Perihelion;Mercury Asc Node;Mercury Arg Peri;Mercury Ecliptic Inclination;Mercury Asc Node InvPlane;Mercury Asc Node InvPlane MaxIncl;Mercury Inclination Phase Angle;Mercury InvPlane Inclination;Mercury arcsec / century;Mercury Precession Fluctuation;Venus Perihelion;Venus Asc Node;Venus Arg Peri;Venus Ecliptic Inclination;Venus Asc Node InvPlane;Venus Asc Node InvPlane MaxIncl;Venus Inclination Phase Angle;Venus InvPlane Inclination;Venus arcsec / century;Venus Precession Fluctuation;EARTH LONGITUDE FORMULA;EARTH ERD HELPER;EARTH Eccentricity;EARTH OBLIQUITY (deg);Earth Perihelion;Earth Asc Node InvPlane;Earth Asc Node InvPlane MaxIncl;Earth InvPlane Inclination;Earth arcsec / century;Earth Precession Fluctuation;Mars Perihelion;Mars Asc Node;Mars Arg Peri;Mars Ecliptic Inclination;Mars Asc Node InvPlane;Mars Asc Node InvPlane MaxIncl;Mars Inclination Phase Angle;Mars InvPlane Inclination;Mars arcsec / century;Mars Precession Fluctuation;Jupiter Perihelion;Jupiter Asc Node;Jupiter Arg Peri;Jupiter Ecliptic Inclination;Jupiter Asc Node InvPlane;Jupiter Asc Node InvPlane MaxIncl;Jupiter Inclination Phase Angle;Jupiter InvPlane Inclination;Jupiter arcsec / century;Jupiter Precession Fluctuation;Saturn Perihelion;Saturn Asc Node;Saturn Arg Peri;Saturn Ecliptic Inclination;Saturn Asc Node InvPlane;Saturn Asc Node InvPlane MaxIncl;Saturn Inclination Phase Angle;Saturn InvPlane Inclination;Saturn arcsec / century;Saturn Precession Fluctuation;Uranus Perihelion;Uranus Asc Node;Uranus Arg Peri;Uranus Ecliptic Inclination;Uranus Asc Node InvPlane;Uranus Asc Node InvPlane MaxIncl;Uranus Inclination Phase Angle;Uranus InvPlane Inclination;Uranus arcsec / century;Uranus Precession Fluctuation;Neptune Perihelion;Neptune Asc Node;Neptune Arg Peri;Neptune Ecliptic Inclination;Neptune Asc Node InvPlane;Neptune Asc Node InvPlane MaxIncl;Neptune Inclination Phase Angle;Neptune InvPlane Inclination;Neptune arcsec / century;Neptune Precession Fluctuation;;;;INPUT ICRF YEARS;111;333888
-108341031;-301344;12:00:00;-301334;348,342973;48,176543;300,16643;6,26854;303,117682;203,3195;99,798182;6,357126;535,5210811;1,809177688;326,182333;76,263785;249,918549;4,377858;251,168248;203,3195;47,848748;3,763663;1257,768649;1063,691593;270,1000374;0,003428616;0,0138984;23,445854;270,000028;23,319488;203,3195;0,847743;7454,99027;1244,524485;356,160383;48,962271;307,198112;0,535085;17,594815;203,3195;174,275315;1,371877;1560,12973;-121,8714204;180,083098;169,316286;10,766812;0,950843;117,572479;203,3195;274,252979;0,372329;1787,322162;-153,4483956;187,34786;113,111544;74,236316;1,617585;215,318033;23,3195;191,998533;0,778735;-2855,52973;249,7031627;268,655565;75,812397;192,843168;0,368815;46,609488;203,3195;203,289988;0,932566;1268,802162;104,3398275;242,625383;131,174926;111,450458;0,300819;28,508248;203,3195;185,188748;0,553383;208,7156757;14,6386199;;;;533,7119034;242827,6364;
-108300490;-301231;12:00:00;-301223;348,508092;48,176028;300,332065;6,271382;303,282243;203,3195;99,962743;6,357092;535,5210811;1,809177688;326,570145;76,262393;250,307752;4,379874;251,228087;203,3195;47,908587;3,762845;1257,768649;1063,691593;272,3955074;0,003428616;0,01389928;23,445434;272,29865;23,678522;203,3195;0,847757;7454,99027;1244,524485;356,641423;48,958525;307,682899;0,532568;18,113434;203,3195;174,793934;1,369946;1560,12973;-121,8714204;180,634189;169,312673;11,321515;0,952829;118,17087;203,3195;274,85137;0,373611;1787,322162;-153,4483956;186,467405;113,109754;73,357651;1,61889;214,360607;23,3195;191,041107;0,77818;-2855,52973;249,7031627;269,046779;75,818445;193,228334;0,368912;46,968522;203,3195;203,649022;0,932798;1268,802162;104,3398275;242,689737;131,174457;111,51528;0,300108;28,568087;203,3195;185,248587;0,553392;208,7156757;14,6386199;;;;194,0770558;667776;
-108259948;-301119;12:00:00;-301112;348,676281;48,174587;300,501694;6,274223;303,446805;203,3195;100,127305;6,357058;545,4778378;11,76593445;326,944885;76,258506;250,686379;4,381894;251,287928;203,3195;47,968428;3,762027;1215,372973;1021,295917;274,6879973;0,003401768;0,0139019;23,444864;274,594274;24,037566;203,3195;0,847796;7445,267027;1234,801242;357,123571;48,953495;308,170075;0,530221;18,632052;203,3195;175,312552;1,368198;1563,723243;-118,2779068;181,184909;169,30333;11,88158;0,954844;118,769276;203,3195;275,449776;0,374891;1786,118919;-154,6516389;185,587379;113,104755;72,482624;1,62005;213,403158;23,3195;190,083658;0,77767;-2854,138378;251,0945141;269,437947;75,835333;193,602615;0,369009;47,327566;203,3195;204,008066;0,933033;1268,652973;104,1906383;242,753859;131,1673;111,586559;0,299463;28,627928;203,3195;185,308428;0,553401;207,9632432;13,88618746;;;;6210,465785;20868;
-108219406;-301008;12:00:00;-301001;348,847385;48,172223;300,675162;6,277063;303,611367;203,3195;100,291867;6,357024;554,9318919;21,2199885;327,301707;76,252126;251,04958;4,383917;251,347768;203,3195;48,028268;3,761208;1157,260541;963,1834848;276,9761432;0,003362633;0,01390627;23,444145;276,885418;24,396609;203,3195;0,847859;7430,737297;1220,271512;357,606801;48,946372;308,660429;0,528045;19,150671;203,3195;175,831171;1,366633;1567,232432;-114,7687177;181,735276;169,286604;12,448672;0,956887;119,367682;203,3195;276,048182;0,376171;1784,974054;-155,7965037;184,707724;113,096549;71,611175;1,621066;212,445708;23,3195;189,126208;0,777207;-2852,935135;252,2977573;269,829044;75,863056;193,965989;0,369107;47,686609;203,3195;204,367109;0,933272;1268,422703;103,960368;242,817713;131,15678;111,660934;0,298883;28,687768;203,3195;185,368268;0,55341;207,0940541;13,01699827;;;;1682,00115;77051,07692;
-108178864;-300926;12:00:00;-300890;349,021222;48,168935;300,852287;6,279904;303,775928;203,3195;100,456428;6,35699;563,7956757;30,08377228;327,635985;76,243255;251,39273;4,385943;251,407609;203,3195;48,088109;3,760388;1084,144865;890,0678091;279,2586104;0,003311474;0,01391239;23,443276;279,170688;24,755653;203,3195;0,847948;7411,686486;1201,220702;358,091081;48,933304;309,157777;0,52604;19,669289;203,3195;176,349789;1,365251;1570,637838;-111,3633122;182,285324;169,262532;13,022792;0,95896;119,966088;203,3195;276,646588;0,377448;1783,939459;-156,8310983;183,828367;113,085139;70,743228;1,621939;211,488259;23,3195;188,168759;0,776789;-2851,968649;253,2642438;270,220053;75,901604;194,318449;0,369206;48,045653;203,3195;204,726153;0,933514;1268,137297;103,6749626;242,881271;131,145115;111,736156;0,298369;28,747609;203,3195;185,428109;0,553419;206,1340541;12,05699827;;;;1940,770558;66777,6;
-108138322;-300814;12:00:00;-300779;349,197578;48,164725;301,032853;6,282746;303,940486;203,3195;100,620986;6,356956;571,9654054;38,25350201;327,943438;76,231895;251,711543;4,387974;251,467449;203,3195;48,147949;3,759568;997,1448649;803,0678091;281,5341023;0,003248633;0,01392023;23,442257;281,448745;25,114697;203,3195;0,848061;7388,292973;1177,827188;358,576355;48,915536;309,660819;0,524207;20,187895;203,3195;176,868395;1,364052;1573,861622;-108,1395285;182,835091;169,233173;13,601919;0,961061;120,564494;203,3195;277,244994;0,378725;1783,028108;-157,7424497;182,94924;113,070528;69,878712;1,622668;210,530809;23,3195;187,211309;0,776417;-2851,222703;254,0101898;270,610958;75,950966;194,659993;0,369306;48,404697;203,3195;205,085197;0,933759;1267,8;103,3376653;242,944508;131,12802;111,816488;0,297922;28,807449;203,3195;185,487949;0,553428;205,092973;11,01591719;;;;-3105,232892;-41736;
-108097780;-300702;12:00:00;-300668;349,376232;48,159595;301,216637;6,285587;304,105048;203,3195;100,785548;6,356922;579,4183784;45,70647499;328,220265;76,21805;252,002216;4,390008;251,52729;203,3195;48,20779;3,758746;897,8172973;703,7402415;283,8013684;0,003174527;0,01392979;23,44109;283,718302;25,47374;203,3195;0,8482;7360,725405;1150,25962;359,062596;48,89532;310,167276;0,522546;20,706514;203,3195;177,387014;1,363036;1576,997838;-105,0033122;183,384622;169,19705;14,187572;0,96319;121,1629;203,3195;277,8434;0,379999;1782,262703;-158,5078551;182,070279;113,052721;69,017558;1,623254;209,57336;23,3195;186,25386;0,776092;-2850,684324;254,5485681;271,001745;76,011126;194,990619;0,369407;48,76374;203,3195;205,44424;0,934007;1267,417297;102,9549626;243,007406;131,108564;111,898842;0,297542;28,86729;203,3195;185,54779;0,553437;203,9935135;9,916457734;;;;1164,462335;111296;
-108057238;-300591;12:00:00;-300557;349,556928;48,153545;301,403383;6,28843;304,269609;203,3195;100,950109;6,356888;586,0410811;52,32917769;328,463292;76,201724;252,261569;4,392046;251,587131;203,3195;48,267631;3,757924;788,1956757;594,1186199;286,0592123;0,003089642;0,01394105;23,439775;285,978143;25,832784;203,3195;0,848363;7329,214054;1118,748269;359,549733;48,872097;310,677636;0,521057;21,225132;203,3195;177,905632;1,362203;1579,903784;-102,0973663;183,933962;169,154446;14,779516;0,965347;121,761306;203,3195;278,441806;0,381272;1781,643243;-159,1273145;181,191423;113,031723;68,1597;1,623697;208,61591;23,3195;185,29641;0,775812;-2850,343784;254,8891087;271,392399;76,082065;195,310335;0,369508;49,122784;203,3195;205,803284;0,934259;1266,985946;102,5236113;243,069951;131,085315;111,984637;0,297228;28,927131;203,3195;185,607631;0,553447;202,8486486;8,771592869;;;;194,0770558;667776;
-108016696;-300479;12:00:00;-300446;349,739401;48,146577;301,592824;6,291274;304,434171;203,3195;101,114671;6,356854;591,8043243;58,09242093;328,670116;76,182923;252,487193;4,394088;251,646971;203,3195;48,327471;3,757101;670,7805405;476,7034848;288,3064984;0,002994527;0,01395401;23,438311;288,227126;26,191827;203,3195;0,848551;7293,998919;1083,533134;0,037702;48,844941;311,192762;0,519741;21,743751;203,3195;178,424251;1,361554;1582,602162;-99,39898792;184,483161;169,104467;15,378694;0,967533;122,359712;203,3195;279,040212;0,382543;1781,185946;-159,5846118;180,312619;113,007542;67,305076;1,623997;207,65846;23,3195;184,33896;0,775579;-2850,175135;255,0577573;271,782909;76,163759;195,61915;0,36961;49,481827;203,3195;206,162327;0,934514;1266,518919;102,0565842;243,132136;131,056177;112,075958;0,296982;28,986971;203,3195;185,667471;0,553456;201,6810811;7,604025302;;;;;;
-107976155;-300366;12:00:00;-300335;349,923375;48,138695;301,784681;6,294119;304,598733;203,3195;101,279233;6,35682;596,6724324;62,96052904;328,839236;76,161653;252,677583;4,396135;251,70681;203,3195;48,38731;3,756278;548,4972973;354,4202415;290,5421589;0,002889792;0,01396863;23,4367;290,464136;26,550862;203,3195;0,848764;7255,167568;1044,701783;0,526433;48,816327;311,710106;0,518599;22,262369;203,3195;178,942869;1,361088;1585,073514;-96,92763657;185,032258;169,048069;15,98419;0,969746;122,958103;203,3195;279,638603;0,383811;1780,855135;-159,9154227;179,433834;112,980186;66,453648;1,624154;206,701034;23,3195;183,381534;0,775392;-2850,113514;255,119379;272,173252;76,25618;195,917072;0,369713;49,840862;203,3195;206,521362;0,934772;1265,977297;101,5149626;243,193956;131,024958;112,168998;0,296803;29,04681;203,3195;185,72731;0,553466;200,4972973;6,420241518;;;;;;
